Attempt, Reward, Steps, Time Remaining
0, -1, 22, 60
1, -1, 20, 60
2, 1, 31, 30.230356999999994
3, 1, 39, 59.329521
4, 1, 27, 59.700612
5, -1, 22, 60
6, 1, 33, 53.329519
7, -1, 22, 60
8, 1, 39, 34.376393
9, 1, 25, 60
10, 1, 31, 54.545617
11, -1, 24, 60
12, -1, 34, 60
13, 1, 39, 57.340743
14, 1, 19, 60
15, 1, 37, 52.087082
16, -1, 24, 30.964757
17, 1, 15, 60
18, 1, 19, 60
19, 1, 39, 54.627721
20, 1, 39, 60
21, -1, 36, 60
22, 1, 25, 60
23, -1, 34, 35.321169999999995
24, 1, 29, 59.945247
25, -1, 28, 60
26, -1, 20, 60
27, -1, 28, 53.525793
28, -1, 34, 44.041715999999994
29, 1, 15, 60
30, 1, 21, 60
31, 1, 39, 54.737405
32, 1, 39, 56.194037
33, 1, 37, 54.379835
34, 1, 23, 57.558489
35, 1, 39, 56.596746
36, -1, 22, 60
37, 1, 39, 54.670091
38, -1, 26, 42.730799000000005
39, 1, 39, 48.998418
40, 1, 39, 56.495878000000005
41, 1, 37, 44.325535
42, 1, 25, 60
43, None, 23, -51.430132
44, -1, 26, 59.14879
45, 1, 39, 60
46, -1, 32, 26.953169000000003
47, -1, 34, 57.812974
48, 1, 29, 58.88467
49, 1, 33, 60
50, -1, 34, 46.507144
51, 1, 39, 57.772704
52, 1, 23, 45.785332
53, -1, 32, 49.445455
54, 1, 37, 56.083502
55, 1, 29, 60
56, 1, 35, 60
57, 1, 33, 54.84847
58, 1, 23, 57.302446
59, -1, 24, 60
60, -1, 32, 52.940637
61, -1, 34, 56.540775
62, 1, 39, 55.979193
63, 1, 39, 57.56034
64, 1, 39, 31.893988
65, -1, 24, 19.494256999999998
66, -1, 26, 60
67, 1, 39, 37.540181999999994
68, -1, 36, 59.130974
69, -1, 30, 60
70, 1, 21, 60
71, 1, 37, 56.080133000000004
72, 1, 39, 56.943385
73, 1, 23, 60
74, 1, 25, 56.416586
75, -1, 24, 60
76, -1, 28, 58.703389
77, 1, 39, 52.374971
78, 1, 39, 46.26609
79, -1, 20, 60
80, -1, 22, 60
81, 1, 19, 60
82, 1, 15, 60
83, -1, 30, 58.677984
84, 1, 39, 57.565222
85, 1, 35, 43.853997
86, 1, 39, 57.01235
87, -1, 30, 60
88, -1, 22, 60
89, 1, 29, 59.964579
90, -1, 28, 58.105739
91, -1, 32, 54.291969
92, 1, 25, 56.753563
93, 1, 39, 46.734799
94, 1, 31, 56.007141
95, 1, 29, 43.796244
96, 1, 23, 55.961842
97, -1, 34, 57.145146
98, 1, 17, 60
99, 1, 39, 58.276900000000005
100, 1, 25, 60
101, -1, 26, 59.18584
102, 0, 42, 21.968382
103, 0, 42, 56.927519000000004
104, 1, 23, 60
105, -1, 28, 53.292208
106, 1, 17, 60
107, 1, 19, 60
108, -1, 28, 47.943285
109, 1, 41, 59.737106
110, -1, 32, 38.365026
111, 1, 23, 60
112, 1, 39, 29.213402000000002
113, 1, 39, 56.307758
114, 1, 39, 43.45737
115, 1, 39, 56.157305
116, 1, 23, 60
117, 1, 23, 60
118, 1, 29, 59.969002
119, 1, 21, 60
120, 1, 25, 56.781003
121, -1, 30, 31.077386
122, 1, 31, 59.27844
123, 1, 25, 60
124, 1, 15, 60
125, 1, 29, 59.972468
126, -1, 32, 60
127, 1, 23, 60
128, -1, 34, 53.326735
129, 1, 39, 31.919945000000002
130, -1, 16, 60
131, 1, 15, 60
132, 1, 39, 54.91717799999999
133, 1, 39, 52.56059
134, -1, 34, 33.198042
135, 1, 19, 60
136, -1, 30, 51.547734
137, -1, 34, 36.040664
138, -1, 28, 60
139, -1, 28, 22.504883999999997
140, 1, 39, 57.819438
141, 1, 23, 60
142, 1, 25, 59.530474
143, -1, 20, 60
144, 1, 39, 59.027865
145, 1, 39, 40.795815
146, 1, 23, 59.858586
147, 1, 35, 44.991411
148, -1, 28, 47.250362
149, -1, 36, 54.495256
150, 1, 21, 60
151, 1, 23, 59.431582
152, 1, 33, 36.896851999999996
153, -1, 24, 46.358339
154, 1, 23, 60
155, 1, 39, 44.720997
156, 1, 15, 60
157, 1, 25, 60
158, -1, 38, 56.833843
159, 1, 31, 56.310076
160, 1, 35, 49.850294
161, -1, 30, 60
162, 1, 39, 58.264867
163, -1, 30, 60
164, 1, 19, 60
165, 1, 19, 60
166, 1, 29, 55.685542
167, 1, 21, 60
168, 1, 23, 59.2421
169, -1, 32, 37.032897000000006
170, 1, 33, 57.300679
171, -1, 30, 26.764114999999997
172, -1, 32, 53.126735
173, 1, 23, 60
174, -1, 26, 54.348962
175, -1, 20, 60
176, -1, 30, 59.162948
177, -1, 30, 35.433047
178, 1, 39, 58.064637
179, 1, 37, 57.525185
180, 1, 25, 60
181, -1, 38, 60
182, -1, 32, 47.785504
183, 1, 35, 27.618836
184, 1, 31, 22.865540000000003
185, 1, 39, 58.184148
186, 1, 35, 49.960938999999996
187, 1, 39, 58.410146000000005
188, 1, 35, 60
189, -1, 26, 59.520282
190, 1, 39, 56.750978
191, 1, 39, 51.161549
192, 1, 39, 35.954852
193, -1, 38, 56.989509
194, 0, 42, 45.543009
195, 1, 15, 60
196, 1, 35, 43.714276999999996
197, -1, 26, 56.474217
198, 0, 42, 60
199, -1, 28, 45.177659
